#ZVView-data-copy:   3-Mar-2018 00:28:04
#=======================================
#
#name:   13-AL-27(P,X)11-NA-24,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  191
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          17.9            0      7.51e-6            0  # 1993,A.G.C.Nair+         ## D6156002
          24.7          0.6       4.6e-5       2.2e-5  # 1997,R.Michel+           ## O0276012
          24.7        0.644       4.8e-5      1.81e-5  # 1997,R.Michel+           ## O0276012
          29.6          0.6       8.1e-5       2.2e-5  # 1997,R.Michel+           ## O0276012
          29.6        0.571       8.5e-5      1.87e-5  # 1997,R.Michel+           ## O0276012
          30.7         1.31     0.000335      2.45e-5  # 1997,R.Michel+           ## O0276012
        30.726            0      0.00034         2e-5  # 2004,M.S.Uddin+          ## E1894002
          31.4        0.752     0.000376      1.95e-5  # 1997,R.Michel+           ## O0276012
            32        0.739     0.000374      2.74e-5  # 1997,R.Michel+           ## O0276012
          32.3        0.737     0.000366       2.6e-5  # 1997,R.Michel+           ## O0276012
          32.8        0.722     0.000373      2.01e-5  # 1997,R.Michel+           ## O0276012
          33.2        0.717     0.000472      2.42e-5  # 1997,R.Michel+           ## O0276012
          33.6        0.721     0.000637      3.29e-5  # 1997,R.Michel+           ## O0276012
          33.6        0.936     0.000606      3.36e-5  # 1997,R.Michel+           ## O0276012
          33.8        0.705     0.000534      2.77e-5  # 1997,R.Michel+           ## O0276012
          33.9          0.5     0.000338       3.3e-5  # 1997,R.Michel+           ## O0276012
          33.9        0.505     0.000342      2.88e-5  # 1997,R.Michel+           ## O0276012
            34          1.3       0.0006       4.3e-5  # 1997,R.Michel+           ## O0276012
          34.3         0.34      0.00032       0.0003  # 1982,A.Gruetter          ## D0505024
          34.4         0.34      0.00033       0.0003  # 1982,A.Gruetter          ## D0505024
          34.5        0.698     0.000525      2.81e-5  # 1997,R.Michel+           ## O0276012
          34.7         0.34      0.00043       0.0003  # 1982,A.Gruetter          ## D0505024
        34.782            0    0.0004306      2.06e-5  # 1979,P.Pulver            ## D0508004
          35.4        0.683     0.000666      3.58e-5  # 1997,R.Michel+           ## O0276012
          35.7         0.69     0.000837      4.82e-5  # 1997,R.Michel+           ## O0276012
          36.4        0.922     0.000866      4.54e-5  # 1997,R.Michel+           ## O0276012
          36.5         0.34      0.00065       0.0003  # 1982,A.Gruetter          ## D0505024
        36.718            0      0.00075         5e-5  # 2004,M.S.Uddin+          ## E1894002
        37.486            0   0.00087374            0  # 1979,P.Pulver            ## D0508004
          37.7        0.662      0.00134      6.92e-5  # 1997,R.Michel+           ## O0276012
          37.8        0.898      0.00129      7.03e-5  # 1997,R.Michel+           ## O0276012
          37.9          0.4     0.000889       6.5e-5  # 1997,R.Michel+           ## O0276012
          37.9        0.441     0.000944      5.88e-5  # 1997,R.Michel+           ## O0276012
          37.9         1.27      0.00131      9.33e-5  # 1997,R.Michel+           ## O0276012
          38.4        0.896      0.00124       6.4e-5  # 1997,R.Michel+           ## O0276012
          38.5         1.26      0.00128      9.05e-5  # 1997,R.Michel+           ## O0276012
          38.6        0.921      0.00141       7.4e-5  # 1997,R.Michel+           ## O0276012
          38.9         0.34      0.00111       0.0003  # 1982,A.Gruetter          ## D0505024
            39          0.9      0.00157         9e-5  # 1997,R.Michel+           ## O0276012
