#ZVView-data-copy:   3-Mar-2018 00:36:04
#=======================================
#
#name:   29-CU-0(P,X)27-CO-56,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  148
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          39.4        0.906      3.06e-5      4.26e-6  # 1997,R.Michel+           ## O0276130
          40.6        0.641       2.2e-5      7.53e-6  # 1997,R.Michel+           ## O0276130
          42.4        0.609      2.02e-5      3.95e-6  # 1997,R.Michel+           ## O0276130
          42.4        0.606      3.85e-5      6.78e-6  # 1997,R.Michel+           ## O0276130
          43.6        0.883       2.7e-5      5.21e-6  # 1997,R.Michel+           ## O0276130
          43.7        0.887      2.49e-5      4.46e-6  # 1997,R.Michel+           ## O0276130
          44.2        0.576      4.18e-5      4.32e-6  # 1997,R.Michel+           ## O0276130
          44.2        0.574      3.99e-5       7.5e-6  # 1997,R.Michel+           ## O0276130
          44.2        0.574      4.81e-5      4.18e-6  # 1997,R.Michel+           ## O0276130
          44.2        0.572      3.93e-5       4.4e-6  # 1997,R.Michel+           ## O0276130
          44.2        0.894      3.27e-5      3.26e-6  # 1997,R.Michel+           ## O0276130
          44.5        0.562      3.54e-5      2.97e-6  # 1997,R.Michel+           ## O0276130
          44.6        0.563      4.09e-5      3.38e-6  # 1997,R.Michel+           ## O0276130
          44.6        0.565      4.69e-5       5.7e-6  # 1997,R.Michel+           ## O0276130
          45.2        0.853      5.14e-5      6.26e-6  # 1997,R.Michel+           ## O0276130
          45.4         0.87      5.41e-5      7.62e-6  # 1997,R.Michel+           ## O0276130
          45.5        0.861      5.11e-5      6.11e-6  # 1997,R.Michel+           ## O0276130
          45.7        0.844      5.64e-5       5.7e-6  # 1997,R.Michel+           ## O0276130
          45.9        0.852      4.15e-5      5.02e-6  # 1997,R.Michel+           ## O0276130
          46.1         1.23      4.94e-5      7.07e-6  # 1997,R.Michel+           ## O0276130
          46.7        0.869      8.67e-5      6.54e-6  # 1997,R.Michel+           ## O0276130
          47.1        0.856      8.56e-5      7.19e-6  # 1997,R.Michel+           ## O0276130
          47.3         0.85      9.09e-5      6.14e-6  # 1997,R.Michel+           ## O0276130
          47.4        0.832     0.000109      7.27e-6  # 1997,R.Michel+           ## O0276130
          48.7        0.821      0.00014      9.96e-6  # 1997,R.Michel+           ## O0276130
          48.8        0.837     0.000141      1.05e-5  # 1997,R.Michel+           ## O0276130
            49        0.846     0.000153      9.04e-6  # 1997,R.Michel+           ## O0276130
          49.2        0.828     0.000146      9.95e-6  # 1997,R.Michel+           ## O0276130
          49.3        0.823      0.00013      8.16e-6  # 1997,R.Michel+           ## O0276130
          49.9          1.2     0.000131      1.97e-5  # 1997,R.Michel+           ## O0276130
            50          2.1      0.00014         2e-5  # 1987,V.N.Aleksandrov+    ## A0351002
          50.4        0.818     0.000219       1.4e-5  # 1997,R.Michel+           ## O0276130
          50.9        0.818     0.000245       1.4e-5  # 1997,R.Michel+           ## O0276130
            51         1.82     0.000445      7.37e-5  # 1997,R.Michel+           ## O0276130
          51.2         1.19     0.000224      1.82e-5  # 1997,R.Michel+           ## O0276130
          51.2        0.823     0.000301      1.61e-5  # 1997,R.Michel+           ## O0276130
          51.3         1.18     0.000228      1.72e-5  # 1997,R.Michel+           ## O0276130
            52        0.801     0.000372      2.06e-5  # 1997,R.Michel+           ## O0276130
          52.2        0.788     0.000415      2.26e-5  # 1997,R.Michel+           ## O0276130
          52.4         1.18     0.000306      2.49e-5  # 1997,R.Michel+           ## O0276130
          52.5        0.792     0.000351      1.91e-5  # 1997,R.Michel+           ## O0276130
          52.6        0.797     0.000446      2.43e-5  # 1997,R.Michel+           ## O0276130
          53.4         1.18     0.000468      3.68e-5  # 1997,R.Michel+           ## O0276130
          53.4        0.801     0.000663      3.42e-5  # 1997,R.Michel+           ## O0276130
          53.5        0.789     0.000654      3.54e-5  # 1997,R.Michel+           ## O0276130
          53.8         1.17     0.000624      6.13e-5  # 1997,R.Michel+           ## O0276130
          54.3        0.778     0.000834      4.36e-5  # 1997,R.Michel+           ## O0276130
          54.5         1.17      0.00066      4.99e-5  # 1997,R.Michel+           ## O0276130
            55        0.778      0.00116      6.16e-5  # 1997,R.Michel+           ## O0276130
          55.3         0.76      0.00135      6.97e-5  # 1997,R.Michel+           ## O0276130
          55.5        0.781      0.00143      7.39e-5  # 1997,R.Michel+           ## O0276130
          55.7         1.15      0.00109       8.8e-5  # 1997,R.Michel+           ## O0276130
            56        0.758      0.00133      6.82e-5  # 1997,R.Michel+           ## O0276130
          56.4        0.756      0.00179      9.26e-5  # 1997,R.Michel+           ## O0276130
          56.5        0.764      0.00187      9.76e-5  # 1997,R.Michel+           ## O0276130
         56.74         1.13      0.00243      0.00019  # 2016,E.Garrido+          ## O2315021
            57        0.741      0.00259     0.000136  # 1997,R.Michel+           ## O0276130
          57.1         1.15      0.00164     0.000123  # 1997,R.Michel+           ## O0276130
         57.12         1.09       0.0028       0.0002  # 2016,E.Garrido+          ## O2315021
          57.3        0.737      0.00238     0.000125  # 1997,R.Michel+           ## O0276130
          57.4         1.15      0.00202     0.000148  # 1997,R.Michel+           ## O0276130
          57.5        0.756      0.00272     0.000141  # 1997,R.Michel+           ## O0276130
         57.55         1.07      0.00332      0.00036  # 2016,E.Garrido+          ## O2315021
          57.6          1.4      0.00348     0.000352  # 1997,R.Michel+           ## O0276130
          57.8         1.14      0.00231     0.000175  # 1997,R.Michel+           ## O0276130
            58        0.741      0.00288      0.00015  # 1997,R.Michel+           ## O0276130
          58.4        0.727      0.00373     0.000197  # 1997,R.Michel+           ## O0276130
          58.7        0.723      0.00399      0.00021  # 1997,R.Michel+           ## O0276130
          58.8        0.724      0.00373     0.000191  # 1997,R.Michel+           ## O0276130
            59          1.2       0.0049      0.00092  # 1987,V.N.Aleksandrov+    ## A0351002
          59.5        0.727      0.00438     0.000225  # 1997,R.Michel+           ## O0276130
          59.5        0.723      0.00426     0.000221  # 1997,R.Michel+           ## O0276130
          59.8         1.13      0.00403       0.0003  # 1997,R.Michel+           ## O0276130
          59.8         1.13      0.00371      0.00028  # 1997,R.Michel+           ## O0276130
          60.6        0.709      0.00489      0.00025  # 1997,R.Michel+           ## O0276130
          60.6         1.12      0.00398     0.000313  # 1997,R.Michel+           ## O0276130
          60.9        0.699      0.00504     0.000313  # 1997,R.Michel+           ## O0276130
          60.9        0.712       0.0057     0.000291  # 1997,R.Michel+           ## O0276130
          61.7        0.709      0.00673     0.000347  # 1997,R.Michel+           ## O0276130
          61.7         1.11      0.00569     0.000443  # 1997,R.Michel+           ## O0276130
          62.2         1.11      0.00616      0.00045  # 1997,R.Michel+           ## O0276130
          62.3        0.686      0.00757     0.000398  # 1997,R.Michel+           ## O0276130
          62.3        0.692      0.00724      0.00037  # 1997,R.Michel+           ## O0276130
          62.4         1.11      0.00586     0.000421  # 1997,R.Michel+           ## O0276130
          62.6        0.692      0.00741     0.000383  # 1997,R.Michel+           ## O0276130
          63.1        0.673      0.00831     0.000424  # 1997,R.Michel+           ## O0276130
          63.3        0.673        0.008     0.000407  # 1997,R.Michel+           ## O0276130
          63.6        0.684      0.00883     0.000455  # 1997,R.Michel+           ## O0276130
          63.6        0.681      0.00862     0.000439  # 1997,R.Michel+           ## O0276130
          63.7          1.1      0.00796     0.000571  # 1997,R.Michel+           ## O0276130
          63.8          1.1      0.00791     0.000562  # 1997,R.Michel+           ## O0276130
            64        0.673      0.00907     0.000469  # 1997,R.Michel+           ## O0276130
          64.2         1.09      0.00771      0.00055  # 1997,R.Michel+           ## O0276130
          64.9        0.663         0.01     0.000512  # 1997,R.Michel+           ## O0276130
          65.2         1.09      0.00918     0.000651  # 1997,R.Michel+           ## O0276130
          65.5        0.648       0.0103     0.000537  # 1997,R.Michel+           ## O0276130
          65.5        0.659       0.0106     0.000549  # 1997,R.Michel+           ## O0276130
          65.6         1.08      0.00938      0.00068  # 1997,R.Michel+           ## O0276130
          65.8         0.64       0.0109     0.000557  # 1997,R.Michel+           ## O0276130
            66        0.641       0.0107     0.000548  # 1997,R.Michel+           ## O0276130
            66         1.08      0.00958     0.000687  # 1997,R.Michel+           ## O0276130
          66.2        0.641       0.0111     0.000565  # 1997,R.Michel+           ## O0276130
          66.9        0.632       0.0115     0.000597  # 1997,R.Michel+           ## O0276130
          67.4        0.629       0.0121     0.000625  # 1997,R.Michel+           ## O0276130
          67.4         1.07       0.0107       0.0008  # 1997,R.Michel+           ## O0276130
          67.5        0.622       0.0121     0.000618  # 1997,R.Michel+           ## O0276130
          67.7         1.07       0.0111     0.000792  # 1997,R.Michel+           ## O0276130
          68.2         1.06        0.011     0.000804  # 1997,R.Michel+           ## O0276130
          68.3         0.61       0.0126      0.00065  # 1997,R.Michel+           ## O0276130
          68.5        0.601       0.0126     0.000641  # 1997,R.Michel+           ## O0276130
          68.5        0.602       0.0127     0.000648  # 1997,R.Michel+           ## O0276130
          68.8        0.604       0.0128     0.000653  # 1997,R.Michel+           ## O0276130
          69.2        0.597       0.0133     0.000687  # 1997,R.Michel+           ## O0276130
          69.4         1.05       0.0116       0.0008  # 1997,R.Michel+           ## O0276130
          69.6        0.588       0.0132     0.000685  # 1997,R.Michel+           ## O0276130
            70          0.9        0.013       0.0025  # 1987,V.N.Aleksandrov+    ## A0351002
            70        0.582       0.0133     0.000676  # 1997,R.Michel+           ## O0276130
          71.4        0.547       0.0138     0.000701  # 1997,R.Michel+           ## O0276130
          71.4         0.55       0.0135     0.000701  # 1997,R.Michel+           ## O0276130
          71.4        0.549       0.0136     0.000716  # 1997,R.Michel+           ## O0276130
          71.4         0.55        0.014      0.00072  # 1997,R.Michel+           ## O0276130
          71.4         1.03       0.0127       0.0009  # 1997,R.Michel+           ## O0276130
          71.4         1.03       0.0125      0.00089  # 1997,R.Michel+           ## O0276130
          71.4         1.02       0.0124     0.000926  # 1997,R.Michel+           ## O0276130
          71.4         1.03       0.0124     0.000922  # 1997,R.Michel+           ## O0276130
          71.5        0.548       0.0137     0.000719  # 1997,R.Michel+           ## O0276130
          71.5        0.547       0.0138     0.000703  # 1997,R.Michel+           ## O0276130
            74         1.04       0.0134      0.00135  # 1997,R.Michel+           ## O0276130
            79          2.2       0.0095       0.0018  # 1987,V.N.Aleksandrov+    ## A0351002
          85.3         1.08       0.0117      0.00122  # 1997,R.Michel+           ## O0276130
          88.1        0.791       0.0135      0.00104  # 1997,R.Michel+           ## O0276130
            89          1.9       0.0068       0.0013  # 1987,V.N.Aleksandrov+    ## A0351002
            98          1.5       0.0093       0.0018  # 1987,V.N.Aleksandrov+    ## A0351002
           101         1.69       0.0105     0.000917  # 1997,R.Michel+           ## O0276130
           111          1.4       0.0115       0.0008  # 1997,R.Michel+           ## O0276130
           111         1.61       0.0116        0.001  # 1997,R.Michel+           ## O0276130
           121          1.3       0.0127       0.0009  # 1997,R.Michel+           ## O0276130
           121         1.53       0.0122      0.00106  # 1997,R.Michel+           ## O0276130
           131          1.3        0.013       0.0009  # 1997,R.Michel+           ## O0276130
           131         1.43       0.0124      0.00107  # 1997,R.Michel+           ## O0276130
           140          1.2       0.0136        0.001  # 1997,R.Michel+           ## O0276130
           140         1.34       0.0124      0.00109  # 1997,R.Michel+           ## O0276130
           148          1.1       0.0133       0.0009  # 1997,R.Michel+           ## O0276130
           149         1.25       0.0124      0.00109  # 1997,R.Michel+           ## O0276130
           158          1.1       0.0127       0.0009  # 1997,R.Michel+           ## O0276130
           158         1.14       0.0124      0.00109  # 1997,R.Michel+           ## O0276130
          1200        0.986      0.00815      9.33e-5  # 1997,R.Michel+           ## O0276130
          1590            1      0.00692       7.9e-5  # 1997,R.Michel+           ## O0276130
//
#-------------------------------------------------------------------------------
#
#name:   29-CU-0(P,X)27-CO-56,CUM,SIG,,,EXP
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  51
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          43.8            0      2.26e-5       8.1e-6  # 1992,S.J.Mills+          ## A0507003
          45.9            0         5e-5       1.1e-5  # 1992,S.J.Mills+          ## A0507003
            48            0      0.00017       2.2e-5  # 1992,S.J.Mills+          ## A0507003
          50.1            0     0.000214       2.1e-5  # 1992,S.J.Mills+          ## A0507003
            52            0     0.000416       3.7e-5  # 1992,S.J.Mills+          ## A0507003
          52.3            0       0.0012            0  # 1967,I.R.Williams+       ## B0073002
          53.1            0       0.0018            0  # 1967,I.R.Williams+       ## B0073002
          53.9            0     0.000854       7.1e-5  # 1992,S.J.Mills+          ## A0507003
          54.3            0       0.0024            0  # 1967,I.R.Williams+       ## B0073002
          55.4            0       0.0035            0  # 1967,I.R.Williams+       ## B0073002
          55.8            0      0.00167      0.00014  # 1992,S.J.Mills+          ## A0507003
            56            0       0.0046            0  # 1967,I.R.Williams+       ## B0073002
          57.1            0        0.006            0  # 1967,I.R.Williams+       ## B0073002
          57.6            0      0.00283      0.00023  # 1992,S.J.Mills+          ## A0507003
          58.3            0       0.0081            0  # 1967,I.R.Williams+       ## B0073002
          59.4            0      0.00448      0.00036  # 1992,S.J.Mills+          ## A0507003
          61.1            0      0.00625       0.0005  # 1992,S.J.Mills+          ## A0507003
          62.8            0      0.00771      0.00062  # 1992,S.J.Mills+          ## A0507003
          64.5            0      0.00963      0.00077  # 1992,S.J.Mills+          ## A0507003
          65.8            0      0.01119      0.00091  # 1992,S.J.Mills+          ## A0507003
          68.5            0       0.0127        0.001  # 1992,S.J.Mills+          ## A0507003
          71.2            0       0.0134       0.0011  # 1992,S.J.Mills+          ## A0507003
          73.7            0       0.0138       0.0011  # 1992,S.J.Mills+          ## A0507003
          76.2            0       0.0135       0.0011  # 1992,S.J.Mills+          ## A0507003
          78.6            0       0.0126        0.001  # 1992,S.J.Mills+          ## A0507003
            81            0      0.01219      0.00098  # 1992,S.J.Mills+          ## A0507003
          83.3            0      0.01169      0.00094  # 1992,S.J.Mills+          ## A0507003
          85.6            0      0.01133      0.00091  # 1992,S.J.Mills+          ## A0507003
          87.9            0      0.01096      0.00088  # 1992,S.J.Mills+          ## A0507003
          90.1            0      0.01093      0.00088  # 1992,S.J.Mills+          ## A0507003
          92.2            0      0.01085      0.00087  # 1992,S.J.Mills+          ## A0507003
          94.3            0      0.01099      0.00089  # 1992,S.J.Mills+          ## A0507003
          96.4            0      0.01087      0.00087  # 1992,S.J.Mills+          ## A0507003
          99.7            0      0.01077      0.00089  # 1992,S.J.Mills+          ## A0507003
         105.4            0      0.01131      0.00093  # 1992,S.J.Mills+          ## A0507003
         112.2            0      0.01177      0.00096  # 1992,S.J.Mills+          ## A0507003
         118.7            0       0.0122        0.001  # 1992,S.J.Mills+          ## A0507003
         122.6            0       0.0121       0.0011  # 1992,S.J.Mills+          ## A0507003
         127.9            0       0.0127       0.0011  # 1992,S.J.Mills+          ## A0507003
           133            0       0.0128       0.0011  # 1992,S.J.Mills+          ## A0507003
         137.9            0       0.0128       0.0011  # 1992,S.J.Mills+          ## A0507003
         142.7            0       0.0131      0.00011  # 1992,S.J.Mills+          ## A0507003
         147.5            0       0.0129       0.0011  # 1992,S.J.Mills+          ## A0507003
         153.1            0       0.0129       0.0011  # 1992,S.J.Mills+          ## A0507003
         158.7            0       0.0129       0.0011  # 1992,S.J.Mills+          ## A0507003
         164.1            0        0.013       0.0011  # 1992,S.J.Mills+          ## A0507003
         169.4            0        0.013       0.0011  # 1992,S.J.Mills+          ## A0507003
         177.2            0       0.0125        0.001  # 1992,S.J.Mills+          ## A0507003
         183.8            0       0.0127        0.001  # 1992,S.J.Mills+          ## A0507003
         190.2            0       0.0127        0.001  # 1992,S.J.Mills+          ## A0507003
         196.6            0      0.01229      0.00099  # 1992,S.J.Mills+          ## A0507003
//
#-------------------------------------------------------------------------------
#
#name:   29-CU-0(P,X)27-CO-56,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  22
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
            40            0       2.8e-5       1.4e-6  # 1984,L.R.Greenwood+      ## C0537008
          49.1         0.34     0.000165         2e-5  # 1982,A.Gruetter          ## D0505016
          49.1         0.34      0.00018       1.2e-5  # 1982,A.Gruetter          ## D0505016
            50            0      0.00025      1.25e-5  # 1984,L.R.Greenwood+      ## C0537008
          52.4         0.34     0.000493            0  # 1982,A.Gruetter          ## D0505016
          52.4         0.34     0.000497            0  # 1982,A.Gruetter          ## D0505016
        53.435            0      0.00036         7e-5  # 2004,M.S.Uddin+          ## E1894006
          55.5         0.34      0.00154            0  # 1982,A.Gruetter          ## D0505016
          55.5         0.34      0.00154            0  # 1982,A.Gruetter          ## D0505016
        57.552            0      0.00193       0.0002  # 2004,M.S.Uddin+          ## E1894006
        61.472            0      0.00512       0.0005  # 2004,M.S.Uddin+          ## E1894006
        65.194            0      0.00916       0.0008  # 2004,M.S.Uddin+          ## E1894006
        68.788            0       0.0122       0.0011  # 2004,M.S.Uddin+          ## E1894006
            80            0       0.0132      0.00066  # 1984,L.R.Greenwood+      ## C0537008
           100            0       0.0104      0.00052  # 1984,L.R.Greenwood+      ## C0537008
           150            0        0.012       0.0006  # 1984,L.R.Greenwood+      ## C0537008
           200            0       0.0116      0.00058  # 1984,L.R.Greenwood+      ## C0537008
           250            0       0.0117     0.000585  # 1984,L.R.Greenwood+      ## C0537008
           300            0       0.0114      0.00057  # 1984,L.R.Greenwood+      ## C0537008
           350            0       0.0111     0.000555  # 1984,L.R.Greenwood+      ## C0537008
           400            0       0.0102      0.00051  # 1984,L.R.Greenwood+      ## C0537008
           450            0      0.00967    0.0004835  # 1984,L.R.Greenwood+      ## C0537008
//
#-------------------------------------------------------------------------------
#
#name:   29-CU-0(P,X)27-CO-56,IND,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  8
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          58.5         0.34      0.00358    0.0001074  # 1982,A.Gruetter          ## D0505015
          60.7         0.34      0.00557    0.0001671  # 1982,A.Gruetter          ## D0505015
          65.1         0.34      0.00931    0.0002793  # 1982,A.Gruetter          ## D0505015
          65.1         0.34      0.00969    0.0002907  # 1982,A.Gruetter          ## D0505015
          67.6         0.34      0.01117    0.0003351  # 1982,A.Gruetter          ## D0505015
          69.7         0.34      0.01233    0.0003699  # 1982,A.Gruetter          ## D0505015
          69.7         0.34      0.01184    0.0003552  # 1982,A.Gruetter          ## D0505015
          69.8         0.34      0.01218    0.0003654  # 1982,A.Gruetter          ## D0505015
//
#-------------------------------------------------------------------------------
#
#name:   29-CU-0(P,X)27-CO-56,[CUM],SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  5
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
            82            8        0.017       0.0034  # 1972,H.R.Heydegger+      ## O0416008
           111           10        0.012       0.0024  # 1972,H.R.Heydegger+      ## O0416008
           187           13        0.009       0.0018  # 1972,H.R.Heydegger+      ## O0416008
           283           17        0.014       0.0028  # 1972,H.R.Heydegger+      ## O0416008
           416           21        0.011       0.0022  # 1972,H.R.Heydegger+      ## O0416008
//
#-------------------------------------------------------------------------------
