#ZVView-data-copy:   3-Mar-2018 00:33:21
#=======================================
#
#name:   29-CU-0(P,X)30-ZN-62,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  285
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
            11          4.2       0.0024      0.00042  # 1987,V.N.Aleksandrov+    ## A0351002
          12.9         1.05     0.000486       3.7e-5  # 1997,R.Michel+           ## O0276139
          13.1          0.5       0.3297        0.033  # 2006,F.S.Al-Saleh+       ## D0422002
         13.87            1       0.0085      0.00069  # 2006,E.Z.Buthelezi+      ## O1424003
         14.05         0.45      0.00203      0.00013  # 1985,P.Kopecky           ## A0333003
          14.2          0.5       0.0007       0.0001  # 2006,F.S.Al-Saleh+       ## D0422002
          14.2          1.1      0.00595      0.00091  # 1999,A.Hermanne+         ## D4088006
          14.3          0.5       0.0063       0.0005  # 2015,M.Shahid+           ## D7015002
          14.8          0.5       0.0068       0.0007  # 2006,F.S.Al-Saleh+       ## D0422002
         14.84         0.35        0.008       0.0006  # 2009,T.Siiskonen+        ## D0549002
          14.9          0.2       0.0063       0.0008  # 2001,F.Szelecsenyi+      ## D4083003
            15          0.5       0.0039       0.0004  # 2006,F.S.Al-Saleh+       ## D0422002
            15         1.01       0.0192     0.000989  # 1997,R.Michel+           ## O0276139
         15.18         0.45      0.00975       0.0006  # 1985,P.Kopecky           ## A0333003
         15.28         0.48      0.01189      0.00144  # 2002,S.Takacs+           ## D4106004
         15.33         0.46      0.01917      0.00206  # 2013,C.U.Jost+           ## C2108006
         15.34        0.245       0.0192        0.002  # 2013,C.U.Jost+           ## C2048004
         15.35         0.65      0.01251      0.00144  # 2002,S.Takacs+           ## D4106004
          15.5          0.2       0.0139       0.0016  # 2001,F.Szelecsenyi+      ## D4083003
          15.6          0.5       0.0072       0.0007  # 2006,F.S.Al-Saleh+       ## D0422002
          15.6          0.9       0.0148       0.0021  # 2007,M.U.Khandaker+      ## D0446016
          15.8            1       0.0153       0.0019  # 1999,A.Hermanne+         ## D4088006
          15.8        0.987       0.0275      0.00142  # 1997,R.Michel+           ## O0276139
          16.1          0.2       0.0207       0.0024  # 2001,F.Szelecsenyi+      ## D4083003
          16.2          0.8       0.0141       0.0021  # 2007,M.U.Khandaker+      ## D0446016
         16.26         0.45       0.0211       0.0011  # 1985,P.Kopecky           ## A0333003
         16.41         0.45      0.02207      0.00256  # 2002,S.Takacs+           ## D4106004
         16.45          0.3        0.027        0.002  # 2009,T.Siiskonen+        ## D0549002
          16.5          0.5       0.0223       0.0022  # 2006,F.S.Al-Saleh+       ## D0422002
          16.6          0.1        0.028       0.0032  # 2001,F.Szelecsenyi+      ## D4083003
          16.7        0.968       0.0348      0.00178  # 1997,R.Michel+           ## O0276139
         16.72         0.62      0.02885      0.00327  # 2002,S.Takacs+           ## D4106004
         16.76            1       0.0342       0.0024  # 2006,E.Z.Buthelezi+      ## O1424003
         16.95         0.61       0.0307      0.00374  # 2013,C.U.Jost+           ## C2108006
            17          0.4       0.0212       0.0021  # 2006,F.S.Al-Saleh+       ## D0422002
          17.2          0.1       0.0341       0.0039  # 2001,F.Szelecsenyi+      ## D4083003
         17.28         0.45       0.0297       0.0016  # 1985,P.Kopecky           ## A0333003
          17.3            1       0.0252       0.0032  # 1999,A.Hermanne+         ## D4088006
          17.3          0.4       0.0307        0.002  # 2015,M.Shahid+           ## D7015002
          17.4        0.947       0.0417      0.00216  # 1997,R.Michel+           ## O0276139
         17.48         0.42      0.03416      0.00391  # 2002,S.Takacs+           ## D4106004
          17.5          0.4       0.0308       0.0031  # 2006,F.S.Al-Saleh+       ## D0422002
          17.7          0.1       0.0397       0.0045  # 2001,F.Szelecsenyi+      ## D4083003
          17.9        0.937       0.0401      0.00286  # 1997,R.Michel+           ## O0276139
         18.01         0.59      0.04041      0.00457  # 2002,S.Takacs+           ## D4106004
          18.2         0.94       0.0473      0.00245  # 1997,R.Michel+           ## O0276139
         18.25         0.45       0.0379        0.002  # 1985,P.Kopecky           ## A0333003
          18.3          0.4       0.0378       0.0038  # 2006,F.S.Al-Saleh+       ## D0422002
          18.4          0.4       0.0344       0.0034  # 2006,F.S.Al-Saleh+       ## D0422002
         18.51         0.39      0.04442      0.00506  # 2002,S.Takacs+           ## D4106004
          18.7          0.9       0.0376       0.0046  # 1999,A.Hermanne+         ## D4088006
          18.9          0.4       0.0463       0.0046  # 2006,F.S.Al-Saleh+       ## D0422002
         19.18         0.45       0.0452       0.0023  # 1985,P.Kopecky           ## A0333003
         19.24         0.57      0.05222       0.0059  # 2002,S.Takacs+           ## D4106004
         19.31            1       0.0544       0.0039  # 2006,E.Z.Buthelezi+      ## O1424003
          19.4          0.4       0.0485       0.0049  # 2006,F.S.Al-Saleh+       ## D0422002
         19.49         0.37      0.05465       0.0062  # 2002,S.Takacs+           ## D4106004
          19.5          0.7       0.0437       0.0046  # 2007,M.U.Khandaker+      ## D0446016
          19.7        0.909       0.0584        0.003  # 1997,R.Michel+           ## O0276139
          19.9          0.4       0.0525       0.0034  # 2015,M.Shahid+           ## D7015002
            20          0.9       0.0482       0.0059  # 1999,A.Hermanne+         ## D4088006
         20.08         0.45       0.0495       0.0026  # 1985,P.Kopecky           ## A0333003
          20.2          0.4       0.0463       0.0046  # 2006,F.S.Al-Saleh+       ## D0422002
          20.3          0.4       0.0499        0.005  # 2006,F.S.Al-Saleh+       ## D0422002
          20.3          0.7       0.0491       0.0045  # 2007,M.U.Khandaker+      ## D0446016
         20.35         0.41      0.06109      0.00641  # 2013,C.U.Jost+           ## C2108006
         20.37         0.19        0.061       0.0065  # 2013,C.U.Jost+           ## C2048004
          20.4         0.54       0.0619      0.00698  # 2002,S.Takacs+           ## D4106004
         20.44         0.34      0.05897      0.00669  # 2002,S.Takacs+           ## D4106004
         20.96         0.45       0.0553       0.0029  # 1985,P.Kopecky           ## A0333003
          21.1          0.4       0.0548       0.0055  # 2006,F.S.Al-Saleh+       ## D0422002
          21.1        0.889       0.0658      0.00339  # 1997,R.Michel+           ## O0276139
         21.35         0.32      0.06568      0.00744  # 2002,S.Takacs+           ## D4106004
          21.4          0.4       0.0547       0.0055  # 2006,F.S.Al-Saleh+       ## D0422002
         21.52         0.51       0.0674       0.0076  # 2002,S.Takacs+           ## D4106004
         21.64            1        0.067       0.0047  # 2006,E.Z.Buthelezi+      ## O1424003
          21.8          0.4       0.0623       0.0062  # 2006,F.S.Al-Saleh+       ## D0422002
         21.81         0.45       0.0624       0.0032  # 1985,P.Kopecky           ## A0333003
          21.9          0.4       0.0609       0.0061  # 2006,F.S.Al-Saleh+       ## D0422002
          21.9          0.8       0.0562       0.0068  # 1999,A.Hermanne+         ## D4088006
            22          2.8        0.073        0.013  # 1987,V.N.Aleksandrov+    ## A0351002
          22.2        0.875       0.0708      0.00504  # 1997,R.Michel+           ## O0276139
         22.24          0.3      0.07016      0.00795  # 2002,S.Takacs+           ## D4106004
         22.29        0.165       0.0689       0.0073  # 2013,C.U.Jost+           ## C2048004
          22.3         0.32      0.06903      0.00725  # 2013,C.U.Jost+           ## C2108006
          22.3          0.3       0.0636       0.0041  # 2015,M.Shahid+           ## D7015002
          22.4        0.878       0.0698      0.00359  # 1997,R.Michel+           ## O0276139
          22.5         3.43       0.0675      0.00694  # 1997,R.Michel+           ## O0276139
          22.6          0.4       0.0596       0.0059  # 2006,F.S.Al-Saleh+       ## D0422002
          22.6         0.49      0.07182       0.0081  # 2002,S.Takacs+           ## D4106004
         22.63         0.45       0.0639       0.0033  # 1985,P.Kopecky           ## A0333003
          22.7          0.4       0.0606       0.0061  # 2006,F.S.Al-Saleh+       ## D0422002
         23.14         0.32      0.07186      0.00733  # 2013,C.U.Jost+           ## C2108006
         23.15        0.155       0.0717       0.0076  # 2013,C.U.Jost+           ## C2048004
          23.4         0.35      0.07087      0.00825  # 2013,C.U.Jost+           ## C2108006
         23.42         0.45        0.066       0.0034  # 1985,P.Kopecky           ## A0333003
          23.6          0.8       0.0646       0.0075  # 1999,A.Hermanne+         ## D4088006
         23.64         0.47      0.07529      0.00848  # 2002,S.Takacs+           ## D4106004
          23.7          0.4       0.0642       0.0064  # 2006,F.S.Al-Saleh+       ## D0422002
         23.78            1       0.0713       0.0052  # 2006,E.Z.Buthelezi+      ## O1424003
         24.07        0.165       0.0717       0.0076  # 2013,C.U.Jost+           ## C2048004
         24.07         0.32      0.07186      0.00741  # 2013,C.U.Jost+           ## C2108006
          24.1          0.4       0.0661       0.0066  # 2006,F.S.Al-Saleh+       ## D0422002
          24.2         0.45       0.0658       0.0034  # 1985,P.Kopecky           ## A0333003
          24.3          0.4       0.0649       0.0065  # 2006,F.S.Al-Saleh+       ## D0422002
          24.4          0.6        0.063       0.0065  # 2007,M.U.Khandaker+      ## D0446016
          24.5          0.3       0.0665       0.0043  # 2015,M.Shahid+           ## D7015002
         24.64         0.44      0.07457       0.0084  # 2002,S.Takacs+           ## D4106004
         24.96         0.45       0.0634       0.0033  # 1985,P.Kopecky           ## A0333003
          25.1         0.14       0.0689       0.0073  # 2013,C.U.Jost+           ## C2048004
         25.11         0.29      0.06896      0.00725  # 2013,C.U.Jost+           ## C2108006
          25.2          0.4       0.0649       0.0065  # 2006,F.S.Al-Saleh+       ## D0422002
          25.2          0.7        0.065       0.0075  # 1999,A.Hermanne+         ## D4088006
          25.3        0.829       0.0647      0.00332  # 1997,R.Michel+           ## O0276139
         25.62         0.42      0.07096        0.008  # 2002,S.Takacs+           ## D4106004
         25.71         0.45       0.0608       0.0031  # 1985,P.Kopecky           ## A0333003
          25.8        0.829       0.0697      0.00497  # 1997,R.Michel+           ## O0276139
          26.1          0.5       0.0571       0.0055  # 2007,M.U.Khandaker+      ## D0446016
          26.2          0.4       0.0629       0.0063  # 2006,F.S.Al-Saleh+       ## D0422002
          26.3          0.4       0.0558       0.0056  # 2006,F.S.Al-Saleh+       ## D0422002
         26.43         0.45        0.058        0.003  # 1985,P.Kopecky           ## A0333003
         26.56          0.4      0.06679      0.00753  # 2002,S.Takacs+           ## D4106004
          26.6          0.3       0.0585       0.0038  # 2015,M.Shahid+           ## D7015002
          26.7          0.6       0.0589       0.0068  # 1999,A.Hermanne+         ## D4088006
        26.984            0       0.0558       0.0052  # 2004,M.S.Uddin+          ## E1894005
         27.08         0.13       0.0573       0.0061  # 2013,C.U.Jost+           ## C2048004
         27.09         0.29      0.05743      0.00596  # 2013,C.U.Jost+           ## C2108006
         27.15         0.45       0.0528       0.0027  # 1985,P.Kopecky           ## A0333003
          27.4          0.4       0.0513       0.0051  # 2006,F.S.Al-Saleh+       ## D0422002
         27.48         0.38      0.05903      0.00665  # 2002,S.Takacs+           ## D4106004
         27.51            1       0.0537        0.004  # 2006,E.Z.Buthelezi+      ## O1424003
          27.8        0.803        0.047      0.00242  # 1997,R.Michel+           ## O0276139
         27.85         0.45       0.0471       0.0024  # 1985,P.Kopecky           ## A0333003
         28.07            0      0.04803      0.00527  # 2013,C.U.Jost+           ## C2108006
          28.1          0.6       0.0481       0.0057  # 1999,A.Hermanne+         ## D4088006
         28.38         0.36        0.051      0.00576  # 2002,S.Takacs+           ## D4106004
          28.5          0.3       0.0444       0.0029  # 2015,M.Shahid+           ## D7015002
         28.52         0.45       0.0438       0.0023  # 1985,P.Kopecky           ## A0333003
            29          0.5       0.0402       0.0044  # 2007,M.U.Khandaker+      ## D0446016
          29.2         0.45       0.0401       0.0021  # 1985,P.Kopecky           ## A0333003
          29.2         0.78       0.0451      0.00322  # 1997,R.Michel+           ## O0276139
         29.26         0.35      0.04441      0.00502  # 2002,S.Takacs+           ## D4106004
          29.5          0.6       0.0384       0.0046  # 1999,A.Hermanne+         ## D4088006
         29.86         0.45       0.0356       0.0019  # 1985,P.Kopecky           ## A0333003
          29.9        0.095       0.0374        0.004  # 2013,C.U.Jost+           ## C2048004
          29.9          0.2      0.03749      0.00389  # 2013,C.U.Jost+           ## C2108006
            30          2.1        0.071        0.013  # 1987,V.N.Aleksandrov+    ## A0351002
          30.1          0.4       0.0357      0.00346  # 2007,M.U.Khandaker+      ## D0446016
         30.12         0.33       0.0427      0.00483  # 2002,S.Takacs+           ## D4106004
          30.2        0.774       0.0323      0.00167  # 1997,R.Michel+           ## O0276139
          30.4          0.3       0.0334       0.0022  # 2015,M.Shahid+           ## D7015002
         30.51         0.45       0.0312       0.0017  # 1985,P.Kopecky           ## A0333003
          30.8          0.5       0.0331        0.004  # 1999,A.Hermanne+         ## D4088006
         30.88            1       0.0322       0.0025  # 2006,E.Z.Buthelezi+      ## O1424003
         30.96         0.32      0.03369      0.00382  # 2002,S.Takacs+           ## D4106004
         31.15         0.45       0.0282       0.0016  # 1985,P.Kopecky           ## A0333003
         31.78         0.45       0.0258       0.0015  # 1985,P.Kopecky           ## A0333003
         31.78          0.3      0.03052      0.00346  # 2002,S.Takacs+           ## D4106004
          32.2          0.4       0.0259       0.0032  # 1999,A.Hermanne+         ## D4088006
          32.2          0.3       0.0251       0.0017  # 2015,M.Shahid+           ## D7015002
          32.4         0.45       0.0232       0.0013  # 1985,P.Kopecky           ## A0333003
          32.5        0.745       0.0224      0.00116  # 1997,R.Michel+           ## O0276139
            33        0.742       0.0237       0.0017  # 1997,R.Michel+           ## O0276139
         33.01         0.06       0.0217       0.0023  # 2013,C.U.Jost+           ## C2048004
         33.01         0.12      0.02176      0.00229  # 2013,C.U.Jost+           ## C2108006
          33.2          0.4       0.0213       0.0024  # 2007,M.U.Khandaker+      ## D0446016
          33.5            0      0.02047      0.00237  # 2013,C.U.Jost+           ## C2108006
          33.5          0.5       0.0213       0.0028  # 1999,A.Hermanne+         ## D4088006
          33.9          0.2       0.0199       0.0014  # 2015,M.Shahid+           ## D7015002
         34.53            1       0.0188       0.0017  # 2006,E.Z.Buthelezi+      ## O1424003
          34.7          0.5       0.0188       0.0026  # 1999,A.Hermanne+         ## D4088006
          34.7        0.715        0.017     0.000891  # 1997,R.Michel+           ## O0276139
         34.85        0.015       0.0179       0.0019  # 2013,C.U.Jost+           ## C2048004
         34.87         0.09      0.01787      0.00191  # 2013,C.U.Jost+           ## C2108006
          35.5          0.2        0.016       0.0012  # 2015,M.Shahid+           ## D7015002
          35.9        0.705        0.017      0.00122  # 1997,R.Michel+           ## O0276139
            36          1.3        0.022       0.0041  # 1987,V.N.Aleksandrov+    ## A0351002
          36.2            0      0.01535      0.00183  # 2013,C.U.Jost+           ## C2108006
          36.7        0.689       0.0141     0.000742  # 1997,R.Michel+           ## O0276139
         36.79            0      0.01466      0.00153  # 2013,C.U.Jost+           ## C2108006
          36.8         2.13       0.0158      0.00182  # 1997,R.Michel+           ## O0276139
          37.1          0.2       0.0138        0.001  # 2015,M.Shahid+           ## D7015002
          37.5          0.3       0.0148       0.0017  # 2007,M.U.Khandaker+      ## D0446016
         37.74            0      0.01359      0.00176  # 2013,C.U.Jost+           ## C2108006
         37.88            1       0.0131       0.0013  # 2006,E.Z.Buthelezi+      ## O1424003
         38.32            0      0.01268       0.0016  # 2013,C.U.Jost+           ## C2108006
          38.6        0.667       0.0141     0.000999  # 1997,R.Michel+           ## O0276139
          38.7          0.2       0.0127        0.001  # 2015,M.Shahid+           ## D7015002
          38.7        0.671       0.0126     0.000666  # 1997,R.Michel+           ## O0276139
         38.76            0      0.01352      0.00145  # 2013,C.U.Jost+           ## C2108006
          39.2            0      0.01229      0.00176  # 2013,C.U.Jost+           ## C2108006
        39.213            0        0.014       0.0013  # 2004,M.S.Uddin+          ## E1894005
          39.5         1.26       0.0144      0.00103  # 1997,R.Michel+           ## O0276139
          39.6        0.933       0.0133      0.00107  # 1997,R.Michel+           ## O0276139
         39.89            0      0.01268       0.0016  # 2013,C.U.Jost+           ## C2108006
          40.1          0.2       0.0122       0.0009  # 2015,M.Shahid+           ## D7015002
          40.5          0.2       0.0124       0.0017  # 2007,M.U.Khandaker+      ## D0446016
          40.6        0.641       0.0122     0.000644  # 1997,R.Michel+           ## O0276139
          41.1        0.631       0.0127     0.000911  # 1997,R.Michel+           ## O0276139
          41.6          0.2       0.0123       0.0009  # 2015,M.Shahid+           ## D7015002
          41.9         1.25       0.0153       0.0011  # 1997,R.Michel+           ## O0276139
          42.4        0.609       0.0119     0.000625  # 1997,R.Michel+           ## O0276139
            43          0.2       0.0123       0.0009  # 2015,M.Shahid+           ## D7015002
          43.5         1.24       0.0132     0.000976  # 1997,R.Michel+           ## O0276139
          43.7        0.887       0.0122     0.000627  # 1997,R.Michel+           ## O0276139
          44.1        0.577       0.0129      0.00092  # 1997,R.Michel+           ## O0276139
          44.2        0.894       0.0119      0.00101  # 1997,R.Michel+           ## O0276139
          44.2        0.576       0.0119     0.000623  # 1997,R.Michel+           ## O0276139
          45.4         0.87       0.0124     0.000634  # 1997,R.Michel+           ## O0276139
          45.9         1.23       0.0121     0.000863  # 1997,R.Michel+           ## O0276139
          46.1         1.23       0.0141      0.00101  # 1997,R.Michel+           ## O0276139
          46.7        0.869       0.0129     0.000953  # 1997,R.Michel+           ## O0276139
          46.7         1.22       0.0127     0.000918  # 1997,R.Michel+           ## O0276139
          47.1        0.856       0.0123     0.000629  # 1997,R.Michel+           ## O0276139
          48.1         1.21       0.0123     0.000883  # 1997,R.Michel+           ## O0276139
          48.8        0.837       0.0124     0.000634  # 1997,R.Michel+           ## O0276139
            49        0.846        0.012     0.000905  # 1997,R.Michel+           ## O0276139
        49.048            0        0.012      0.00114  # 2004,M.S.Uddin+          ## E1894005
          49.9          1.2       0.0137     0.000997  # 1997,R.Michel+           ## O0276139
            50          2.1       0.0086       0.0016  # 1987,V.N.Aleksandrov+    ## A0351002
          50.3          1.2        0.012     0.000889  # 1997,R.Michel+           ## O0276139
          50.4        0.818       0.0122     0.000624  # 1997,R.Michel+           ## O0276139
          50.5          1.3       0.0131      0.00137  # 1997,R.Michel+           ## O0276139
          51.2        0.823       0.0116     0.000866  # 1997,R.Michel+           ## O0276139
          51.3         1.18       0.0124     0.000882  # 1997,R.Michel+           ## O0276139
            52        0.801       0.0118     0.000609  # 1997,R.Michel+           ## O0276139
          52.4         1.18        0.012      0.00088  # 1997,R.Michel+           ## O0276139
          53.4        0.801       0.0102     0.000795  # 1997,R.Michel+           ## O0276139
          53.4         1.18       0.0132     0.000939  # 1997,R.Michel+           ## O0276139
        53.435            0       0.0115       0.0011  # 2004,M.S.Uddin+          ## E1894005
          53.5        0.789       0.0114     0.000584  # 1997,R.Michel+           ## O0276139
          54.5         1.17       0.0118      0.00097  # 1997,R.Michel+           ## O0276139
            55        0.778       0.0108     0.000556  # 1997,R.Michel+           ## O0276139
          55.5        0.781       0.0104     0.000797  # 1997,R.Michel+           ## O0276139
          55.7         1.15       0.0108      0.00077  # 1997,R.Michel+           ## O0276139
          56.5        0.764       0.0103     0.000527  # 1997,R.Michel+           ## O0276139
          57.1         1.15       0.0104      0.00075  # 1997,R.Michel+           ## O0276139
          57.4         1.15       0.0118     0.000872  # 1997,R.Michel+           ## O0276139
          57.5        0.756      0.00957     0.000771  # 1997,R.Michel+           ## O0276139
        57.552            0       0.0108       0.0009  # 2004,M.S.Uddin+          ## E1894005
          57.6          1.4      0.00973      0.00127  # 1997,R.Michel+           ## O0276139
            59          1.2       0.0095       0.0017  # 1987,V.N.Aleksandrov+    ## A0351002
          59.5        0.727      0.00915     0.000471  # 1997,R.Michel+           ## O0276139
          59.8         1.13      0.00948     0.000684  # 1997,R.Michel+           ## O0276139
          60.6         1.12      0.00923     0.000664  # 1997,R.Michel+           ## O0276139
          60.9        0.712      0.00881     0.000454  # 1997,R.Michel+           ## O0276139
        61.472            0      0.00946       0.0009  # 2004,M.S.Uddin+          ## E1894005
          61.7        0.709      0.00843     0.000742  # 1997,R.Michel+           ## O0276139
          62.3        0.692      0.00844     0.000435  # 1997,R.Michel+           ## O0276139
          62.4         1.11       0.0084     0.000612  # 1997,R.Michel+           ## O0276139
          63.6        0.681        0.008     0.000413  # 1997,R.Michel+           ## O0276139
          63.6        0.684      0.00827     0.000701  # 1997,R.Michel+           ## O0276139
          63.8          1.1      0.00839     0.000597  # 1997,R.Michel+           ## O0276139
          64.2         1.09      0.00798     0.000576  # 1997,R.Michel+           ## O0276139
          64.9        0.663      0.00766     0.000395  # 1997,R.Michel+           ## O0276139
        65.194            0      0.00881       0.0008  # 2004,M.S.Uddin+          ## E1894005
          65.5        0.659      0.00707     0.000671  # 1997,R.Michel+           ## O0276139
            66         1.08      0.00748     0.000545  # 1997,R.Michel+           ## O0276139
          66.2        0.641      0.00743     0.000384  # 1997,R.Michel+           ## O0276139
          67.4        0.629      0.00712     0.000668  # 1997,R.Michel+           ## O0276139
          67.4         1.07      0.00752     0.000537  # 1997,R.Michel+           ## O0276139
          67.5        0.622      0.00715      0.00037  # 1997,R.Michel+           ## O0276139
          67.7         1.07      0.00736     0.000535  # 1997,R.Michel+           ## O0276139
        68.788            0      0.00824       0.0008  # 2004,M.S.Uddin+          ## E1894005
          68.8        0.604      0.00698     0.000361  # 1997,R.Michel+           ## O0276139
          69.2        0.597      0.00716     0.000687  # 1997,R.Michel+           ## O0276139
          69.4         1.05      0.00761     0.000603  # 1997,R.Michel+           ## O0276139
            70          0.9       0.0053       0.0011  # 1987,V.N.Aleksandrov+    ## A0351002
            70        0.582      0.00671     0.000348  # 1997,R.Michel+           ## O0276139
          71.4         0.55      0.00591     0.000616  # 1997,R.Michel+           ## O0276139
          71.4         1.03      0.00667     0.000477  # 1997,R.Michel+           ## O0276139
          71.4         1.02      0.00653     0.000476  # 1997,R.Michel+           ## O0276139
            74         1.04      0.00692      0.00102  # 1997,R.Michel+           ## O0276139
            79          2.2       0.0061       0.0012  # 1987,V.N.Aleksandrov+    ## A0351002
          84.9        0.766      0.00552     0.000574  # 1997,R.Michel+           ## O0276139
          88.1        0.791      0.00513     0.000946  # 1997,R.Michel+           ## O0276139
            89          1.9       0.0052      0.00093  # 1987,V.N.Aleksandrov+    ## A0351002
            98          1.5       0.0042      0.00075  # 1987,V.N.Aleksandrov+    ## A0351002
          99.9          1.7      0.00419     0.000413  # 1997,R.Michel+           ## O0276139
           111         1.61      0.00381     0.000349  # 1997,R.Michel+           ## O0276139
           121         1.53      0.00345     0.000311  # 1997,R.Michel+           ## O0276139
           131         1.43      0.00299     0.000262  # 1997,R.Michel+           ## O0276139
           140         1.35      0.00289     0.000261  # 1997,R.Michel+           ## O0276139
           148         1.26      0.00267     0.000258  # 1997,R.Michel+           ## O0276139
           158         1.14      0.00249     0.000244  # 1997,R.Michel+           ## O0276139
//
#-------------------------------------------------------------------------------
#
#name:   29-CU-0(P,X)30-ZN-62,IND,SIG,,,EXP
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  53
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          16.3            0       0.0267       0.0022  # 1992,S.J.Mills+          ## A0507002
          20.6            0       0.0571       0.0046  # 1992,S.J.Mills+          ## A0507002
          24.3            0       0.0655       0.0053  # 1992,S.J.Mills+          ## A0507002
          27.6            0       0.0491       0.0039  # 1992,S.J.Mills+          ## A0507002
          30.6            0       0.0293       0.0024  # 1992,S.J.Mills+          ## A0507002
          33.4            0       0.0188       0.0015  # 1992,S.J.Mills+          ## A0507002
          36.1            0       0.0141       0.0011  # 1992,S.J.Mills+          ## A0507002
          38.6            0        0.013       0.0011  # 1992,S.J.Mills+          ## A0507002
          41.5            0       0.0123        0.001  # 1992,S.J.Mills+          ## A0507002
          43.8            0      0.01205      0.00098  # 1992,S.J.Mills+          ## A0507002
          45.9            0      0.01196      0.00097  # 1992,S.J.Mills+          ## A0507002
            48            0      0.01215      0.00099  # 1992,S.J.Mills+          ## A0507002
          50.1            0       0.0116      0.00094  # 1992,S.J.Mills+          ## A0507002
            52            0       0.0115      0.00094  # 1992,S.J.Mills+          ## A0507002
          53.9            0      0.01086      0.00088  # 1992,S.J.Mills+          ## A0507002
          55.8            0      0.01012      0.00082  # 1992,S.J.Mills+          ## A0507002
          57.6            0      0.00968      0.00079  # 1992,S.J.Mills+          ## A0507002
          59.4            0      0.00871      0.00071  # 1992,S.J.Mills+          ## A0507002
          61.1            0      0.00815      0.00067  # 1992,S.J.Mills+          ## A0507002
          62.8            0      0.00759      0.00062  # 1992,S.J.Mills+          ## A0507002
          64.5            0      0.00735       0.0006  # 1992,S.J.Mills+          ## A0507002
          65.8            0      0.00784      0.00065  # 1992,S.J.Mills+          ## A0507002
          68.5            0      0.00711       0.0006  # 1992,S.J.Mills+          ## A0507002
          71.2            0      0.00659      0.00055  # 1992,S.J.Mills+          ## A0507002
          73.7            0      0.00663      0.00056  # 1992,S.J.Mills+          ## A0507002
          76.2            0      0.00645      0.00057  # 1992,S.J.Mills+          ## A0507002
          78.6            0       0.0058      0.00049  # 1992,S.J.Mills+          ## A0507002
            81            0      0.00572      0.00049  # 1992,S.J.Mills+          ## A0507002
          83.3            0       0.0057      0.00049  # 1992,S.J.Mills+          ## A0507002
          85.6            0      0.00543      0.00047  # 1992,S.J.Mills+          ## A0507002
          87.9            0      0.00542      0.00048  # 1992,S.J.Mills+          ## A0507002
          90.1            0      0.00505      0.00046  # 1992,S.J.Mills+          ## A0507002
          92.2            0      0.00465       0.0004  # 1992,S.J.Mills+          ## A0507002
          94.3            0       0.0047       0.0004  # 1992,S.J.Mills+          ## A0507002
          96.4            0      0.00474      0.00041  # 1992,S.J.Mills+          ## A0507002
          99.7            0       0.0047      0.00045  # 1992,S.J.Mills+          ## A0507002
         105.4            0      0.00442      0.00042  # 1992,S.J.Mills+          ## A0507002
