#Target,Product,E [MeV],XS [mb],unc_XS [mb]
Al,24NA,24.0,0.05,0.0323577499447
Al,24NA,24.1,0.05,0.0323577499447
Al,24NA,24.2,0.05,0.0323577499447
Al,24NA,24.3,0.05,0.0323577499447
Al,24NA,24.4,0.05,0.0323577499447
Al,24NA,24.5,0.06,0.0323577499447
Al,24NA,24.6,0.06,0.0323577499447
Al,24NA,24.7,0.06,0.0323577499447
Al,24NA,24.8,0.06,0.0323577499447
Al,24NA,24.9,0.06,0.0323577499447
Al,24NA,25.0,0.06,0.0323577499447
Al,24NA,25.1,0.06,0.0323577499447
Al,24NA,25.2,0.06,0.0323577499447
Al,24NA,25.3,0.07,0.0323577499447
Al,24NA,25.4,0.07,0.0323577499447
Al,24NA,25.5,0.07,0.0323577499447
Al,24NA,25.6,0.07,0.0323577499447
Al,24NA,25.7,0.07,0.0323577499447
Al,24NA,25.8,0.07,0.0323577499447
Al,24NA,25.9,0.07,0.0323577499447
Al,24NA,26.0,0.08,0.0323577499447
Al,24NA,26.1,0.08,0.0323577499447
Al,24NA,26.2,0.08,0.0323577499447
Al,24NA,26.3,0.08,0.0323577499447
Al,24NA,26.4,0.08,0.0323577499447
Al,24NA,26.5,0.08,0.0323577499447
Al,24NA,26.6,0.09,0.0323577499447
Al,24NA,26.7,0.09,0.0323577499447
Al,24NA,26.8,0.09,0.0323577499447
Al,24NA,26.9,0.09,0.0323577499447
Al,24NA,27.0,0.09,0.0323577499447
Al,24NA,27.1,0.1,0.0323577499447
Al,24NA,27.2,0.1,0.0323577499447
Al,24NA,27.3,0.1,0.0323577499447
Al,24NA,27.4,0.1,0.0323577499447
Al,24NA,27.5,0.1,0.0323577499447
Al,24NA,27.6,0.11,0.0323577499447
Al,24NA,27.7,0.11,0.0323577499447
Al,24NA,27.8,0.11,0.0323577499447
Al,24NA,27.9,0.11,0.0323577499447
Al,24NA,28.0,0.12,0.0323577499447
Al,24NA,28.1,0.12,0.0323577499447
Al,24NA,28.2,0.12,0.0323577499447
Al,24NA,28.3,0.13,0.0323577499447
Al,24NA,28.4,0.13,0.0323577499447
Al,24NA,28.5,0.13,0.0323577499447
Al,24NA,28.6,0.13,0.0323577499447
Al,24NA,28.7,0.14,0.0323577499447
Al,24NA,28.8,0.14,0.0323577499447
Al,24NA,28.9,0.14,0.0323577499447
Al,24NA,29.0,0.15,0.0323577499447
Al,24NA,29.1,0.15,0.0323577499447
Al,24NA,29.2,0.15,0.0323577499447
Al,24NA,29.3,0.16,0.0323577499447
Al,24NA,29.4,0.16,0.0323577499447
Al,24NA,29.5,0.16,0.0323577499447
Al,24NA,29.6,0.17,0.0323577499447
Al,24NA,29.7,0.17,0.0323577499447
Al,24NA,29.8,0.18,0.0323577499447
Al,24NA,29.9,0.18,0.0323577499447
Al,24NA,30.0,0.18,0.0323577499447
Al,24NA,30.1,0.19,0.0323577499447
Al,24NA,30.2,0.19,0.0323577499447
Al,24NA,30.3,0.2,0.0323577499447
Al,24NA,30.4,0.2,0.0323577499447
Al,24NA,30.5,0.21,0.0323577499447
Al,24NA,30.6,0.21,0.0323577499447
Al,24NA,30.7,0.22,0.0323577499447
Al,24NA,30.8,0.22,0.0324360640468
Al,24NA,30.9,0.23,0.0325143781489
Al,24NA,31.0,0.23,0.032592692251
Al,24NA,31.1,0.24,0.032671006353
Al,24NA,31.2,0.24,0.0327493204551
Al,24NA,31.3,0.25,0.0328276345572
Al,24NA,31.4,0.25,0.0329059486593
Al,24NA,31.5,0.26,0.0329842627614
Al,24NA,31.6,0.26,0.0330625768635
Al,24NA,31.7,0.27,0.0331408909656
Al,24NA,31.8,0.28,0.0332192050677
Al,24NA,31.9,0.28,0.0332975191698
Al,24NA,32.0,0.29,0.0333758332719
Al,24NA,32.1,0.29,0.0336656604301
Al,24NA,32.2,0.3,0.0339554875883
Al,24NA,32.3,0.31,0.0342453147465
Al,24NA,32.4,0.31,0.0343925339631
