27Al(p,x)22Na				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

24.7	0.00	9.83E-08	2.66E-06	9.83E-08
24.8	0.01	2.97E-07	8.04E-06	2.97E-07
24.9	0.01	6.01E-07	1.62E-05	6.01E-07
25.0	0.02	1.02E-06	2.75E-05	1.02E-06
25.1	0.02	1.56E-06	4.21E-05	1.56E-06
25.2	0.03	2.24E-06	6.04E-05	2.24E-06
25.3	0.03	3.07E-06	8.30E-05	3.07E-06
25.4	0.04	4.08E-06	1.10E-04	4.08E-06
25.5	0.05	5.30E-06	1.43E-04	5.30E-06
25.6	0.05	6.74E-06	1.82E-04	6.74E-06
25.7	0.06	8.43E-06	2.28E-04	8.43E-06
25.8	0.07	1.04E-05	2.81E-04	1.04E-05
25.9	0.08	1.27E-05	3.42E-04	1.27E-05
26.0	0.09	1.52E-05	4.12E-04	1.52E-05
26.1	0.11	1.82E-05	4.92E-04	1.82E-05
26.2	0.12	2.15E-05	5.81E-04	2.15E-05
26.3	0.13	2.52E-05	6.82E-04	2.52E-05
26.4	0.15	2.94E-05	7.94E-04	2.94E-05
26.5	0.17	3.40E-05	9.19E-04	3.40E-05
26.6	0.18	3.91E-05	1.06E-03	3.91E-05
26.7	0.20	4.48E-05	1.21E-03	4.48E-05
26.8	0.22	5.10E-05	1.38E-03	5.10E-05
26.9	0.24	5.78E-05	1.56E-03	5.78E-05
27.0	0.26	6.52E-05	1.76E-03	6.52E-05
27.1	0.29	7.33E-05	1.98E-03	7.33E-05
27.2	0.31	8.21E-05	2.22E-03	8.21E-05
27.3	0.34	9.16E-05	2.48E-03	9.16E-05
27.4	0.36	1.02E-04	2.76E-03	1.02E-04
27.5	0.39	1.13E-04	3.06E-03	1.13E-04
27.6	0.42	1.25E-04	3.39E-03	1.25E-04
27.7	0.45	1.38E-04	3.74E-03	1.38E-04
27.8	0.49	1.52E-04	4.12E-03	1.52E-04
27.9	0.52	1.67E-04	4.53E-03	1.67E-04
28.0	0.56	1.84E-04	4.96E-03	1.84E-04
28.1	0.60	2.01E-04	5.44E-03	2.01E-04
28.2	0.64	2.20E-04	5.94E-03	2.20E-04
28.3	0.69	2.40E-04	6.48E-03	2.40E-04
28.4	0.74	2.61E-04	7.07E-03	2.61E-04
28.5	0.79	2.85E-04	7.69E-03	2.85E-04
28.6	0.84	3.09E-04	8.36E-03	3.09E-04
28.7	0.90	3.36E-04	9.07E-03	3.36E-04
28.8	0.96	3.64E-04	9.83E-03	3.64E-04
28.9	1.02	3.94E-04	1.07E-02	3.94E-04
29.0	1.09	4.26E-04	1.15E-02	4.26E-04
29.1	1.16	4.61E-04	1.25E-02	4.61E-04
29.2	1.24	4.98E-04	1.35E-02	4.98E-04
29.3	1.32	5.37E-04	1.45E-02	5.37E-04
29.4	1.41	5.80E-04	1.57E-02	5.80E-04
29.5	1.50	6.25E-04	1.69E-02	6.25E-04
29.6	1.60	6.73E-04	1.82E-02	6.73E-04
29.7	1.71	7.25E-04	1.96E-02	7.25E-04
29.8	1.83	7.80E-04	2.11E-02	7.80E-04
29.9	1.95	8.39E-04	2.27E-02	8.39E-04
30.0	2.08	9.02E-04	2.44E-02	9.02E-04
30.1	2.22	9.70E-04	2.62E-02	9.70E-04
30.2	2.37	1.04E-03	2.82E-02	1.04E-03
30.3	2.54	1.12E-03	3.03E-02	1.12E-03
30.4	2.71	1.20E-03	3.25E-02	1.20E-03
30.5	2.89	1.29E-03	3.49E-02	1.29E-03
30.6	3.08	1.39E-03	3.75E-02	1.39E-03
30.7	3.29	1.49E-03	4.02E-02	1.49E-03
30.8	3.51	1.60E-03	4.32E-02	1.60E-03
30.9	3.74	1.71E-03	4.63E-02	1.71E-03
31.0	3.99	1.84E-03	4.97E-02	1.84E-03
31.1	4.24	1.97E-03	5.33E-02	1.97E-03
31.2	4.52	2.11E-03	5.71E-02	2.11E-03
31.3	4.80	2.26E-03	6.12E-02	2.26E-03
31.4	5.10	2.42E-03	6.55E-02	2.42E-03
31.5	5.40	2.59E-03	7.01E-02	2.59E-03
31.6	5.72	2.77E-03	7.50E-02	2.77E-03
31.7	6.06	2.97E-03	8.02E-02	2.97E-03
31.8	6.40	3.17E-03	8.57E-02	3.17E-03
31.9	6.75	3.38E-03	9.15E-02	3.38E-03
32.0	7.11	3.61E-03	9.76E-02	3.61E-03
32.1	7.48	3.85E-03	1.04E-01	3.85E-03
32.2	7.86	4.10E-03	1.11E-01	4.10E-03
