natCu(p,x)56Co				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

43.0	0.02	5.59E-06	1.51E-04	5.59E-06
43.1	0.02	1.12E-05	3.04E-04	1.12E-05
43.2	0.02	1.70E-05	4.58E-04	1.69E-05
43.3	0.02	2.28E-05	6.15E-04	2.27E-05
43.4	0.02	2.86E-05	7.74E-04	2.86E-05
43.5	0.02	3.46E-05	9.36E-04	3.46E-05
43.6	0.02	4.07E-05	1.10E-03	4.07E-05
43.7	0.03	4.70E-05	1.27E-03	4.70E-05
43.8	0.03	5.34E-05	1.44E-03	5.34E-05
43.9	0.03	6.00E-05	1.62E-03	6.00E-05
44.0	0.03	6.68E-05	1.81E-03	6.68E-05
44.1	0.03	7.39E-05	2.00E-03	7.39E-05
44.2	0.03	8.13E-05	2.20E-03	8.13E-05
44.3	0.03	8.90E-05	2.40E-03	8.89E-05
44.4	0.03	9.70E-05	2.62E-03	9.70E-05
44.5	0.03	1.05E-04	2.85E-03	1.05E-04
44.6	0.03	1.14E-04	3.09E-03	1.14E-04
44.7	0.04	1.23E-04	3.33E-03	1.23E-04
44.8	0.04	1.33E-04	3.59E-03	1.33E-04
44.9	0.04	1.43E-04	3.86E-03	1.43E-04
45.0	0.04	1.53E-04	4.15E-03	1.53E-04
45.1	0.04	1.64E-04	4.44E-03	1.64E-04
45.2	0.04	1.76E-04	4.74E-03	1.76E-04
45.3	0.05	1.87E-04	5.06E-03	1.87E-04
45.4	0.05	1.99E-04	5.39E-03	1.99E-04
45.5	0.05	2.12E-04	5.73E-03	2.12E-04
45.6	0.05	2.25E-04	6.09E-03	2.25E-04
45.7	0.05	2.39E-04	6.45E-03	2.39E-04
45.8	0.05	2.53E-04	6.84E-03	2.53E-04
45.9	0.06	2.68E-04	7.24E-03	2.68E-04
46.0	0.06	2.83E-04	7.65E-03	2.83E-04
46.1	0.06	2.99E-04	8.08E-03	2.99E-04
46.2	0.06	3.16E-04	8.53E-03	3.16E-04
46.3	0.07	3.33E-04	9.00E-03	3.33E-04
46.4	0.07	3.51E-04	9.49E-03	3.51E-04
46.5	0.07	3.70E-04	1.00E-02	3.70E-04
46.6	0.07	3.90E-04	1.05E-02	3.89E-04
46.7	0.08	4.10E-04	1.11E-02	4.10E-04
46.8	0.08	4.31E-04	1.17E-02	4.31E-04
46.9	0.08	4.53E-04	1.22E-02	4.53E-04
47.0	0.09	4.76E-04	1.29E-02	4.76E-04
47.1	0.09	5.00E-04	1.35E-02	4.99E-04
47.2	0.09	5.24E-04	1.42E-02	5.24E-04
47.3	0.09	5.49E-04	1.48E-02	5.49E-04
47.4	0.10	5.75E-04	1.55E-02	5.75E-04
47.5	0.10	6.02E-04	1.63E-02	6.02E-04
47.6	0.10	6.30E-04	1.70E-02	6.30E-04
47.7	0.11	6.58E-04	1.78E-02	6.58E-04
47.8	0.11	6.87E-04	1.86E-02	6.87E-04
47.9	0.11	7.17E-04	1.94E-02	7.17E-04
48.0	0.11	7.48E-04	2.02E-02	7.47E-04
48.1	0.12	7.79E-04	2.10E-02	7.79E-04
48.2	0.12	8.11E-04	2.19E-02	8.11E-04
48.3	0.12	8.43E-04	2.28E-02	8.43E-04
48.4	0.12	8.76E-04	2.37E-02	8.76E-04
48.5	0.13	9.10E-04	2.46E-02	9.10E-04
48.6	0.13	9.45E-04	2.55E-02	9.45E-04
48.7	0.13	9.81E-04	2.65E-02	9.81E-04
48.8	0.13	1.02E-03	2.75E-02	1.02E-03
48.9	0.14	1.05E-03	2.85E-02	1.05E-03
49.0	0.14	1.09E-03	2.95E-02	1.09E-03
49.1	0.14	1.13E-03	3.06E-02	1.13E-03
49.2	0.15	1.17E-03	3.17E-02	1.17E-03
49.3	0.15	1.22E-03	3.29E-02	1.22E-03
49.4	0.16	1.26E-03	3.41E-02	1.26E-03
49.5	0.16	1.31E-03	3.53E-02	1.31E-03
49.6	0.17	1.35E-03	3.66E-02	1.35E-03
49.7	0.18	1.40E-03	3.79E-02	1.40E-03
49.8	0.18	1.45E-03	3.92E-02	1.45E-03
49.9	0.19	1.50E-03	4.07E-02	1.50E-03
50.0	0.20	1.56E-03	4.21E-02	1.56E-03
50.1	0.20	1.62E-03	4.37E-02	1.61E-03
50.2	0.21	1.67E-03	4.52E-02	1.67E-03
50.3	0.22	1.73E-03	4.69E-02	1.73E-03
50.4	0.22	1.80E-03	4.85E-02	1.80E-03
50.5	0.23	1.86E-03	5.03E-02	1.86E-03
