natCu(p,x)65Zn				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

2.2	0.16	1.48E-06	3.99E-05	1.48E-06
2.3	0.71	8.09E-06	2.19E-04	8.09E-06
2.4	1.30	2.06E-05	5.56E-04	2.06E-05
2.5	1.99	4.00E-05	1.08E-03	4.00E-05
2.6	2.80	6.83E-05	1.84E-03	6.83E-05
2.7	3.76	1.07E-04	2.90E-03	1.07E-04
2.8	4.87	1.58E-04	4.28E-03	1.58E-04
2.9	6.12	2.25E-04	6.07E-03	2.25E-04
3.0	7.52	3.08E-04	8.32E-03	3.08E-04
3.1	9.07	4.11E-04	1.11E-02	4.11E-04
3.2	10.77	5.35E-04	1.45E-02	5.35E-04
3.3	12.64	6.84E-04	1.85E-02	6.84E-04
3.4	14.65	8.59E-04	2.32E-02	8.59E-04
3.5	16.83	1.07E-03	2.88E-02	1.07E-03
3.6	19.17	1.30E-03	3.53E-02	1.30E-03
3.7	21.68	1.58E-03	4.27E-02	1.58E-03
3.8	24.35	1.89E-03	5.12E-02	1.89E-03
3.9	27.19	2.25E-03	6.09E-02	2.25E-03
4.0	30.20	2.66E-03	7.18E-02	2.66E-03
4.1	33.39	3.11E-03	8.41E-02	3.11E-03
4.2	36.74	3.62E-03	9.79E-02	3.62E-03
4.3	40.27	4.19E-03	1.13E-01	4.19E-03
4.4	43.97	4.82E-03	1.30E-01	4.82E-03
4.5	47.84	5.51E-03	1.49E-01	5.51E-03
4.6	51.88	6.28E-03	1.70E-01	6.28E-03
4.7	56.08	7.12E-03	1.92E-01	7.12E-03
4.8	60.45	8.04E-03	2.17E-01	8.04E-03
4.9	64.99	9.04E-03	2.44E-01	9.04E-03
5.0	69.69	1.01E-02	2.74E-01	1.01E-02
5.1	74.55	1.13E-02	3.06E-01	1.13E-02
5.2	79.52	1.26E-02	3.40E-01	1.26E-02
5.3	84.55	1.40E-02	3.77E-01	1.40E-02
5.4	89.61	1.54E-02	4.17E-01	1.54E-02
5.5	94.62	1.70E-02	4.60E-01	1.70E-02
5.6	99.55	1.87E-02	5.05E-01	1.87E-02
5.7	104.35	2.05E-02	5.53E-01	2.05E-02
5.8	108.96	2.24E-02	6.04E-01	2.24E-02
5.9	113.34	2.43E-02	6.58E-01	2.43E-02
6.0	117.44	2.64E-02	7.15E-01	2.64E-02
6.1	121.22	2.86E-02	7.73E-01	2.86E-02
6.2	124.69	3.09E-02	8.35E-01	3.09E-02
6.3	127.90	3.32E-02	8.98E-01	3.32E-02
6.4	130.86	3.57E-02	9.64E-01	3.57E-02
6.5	133.61	3.82E-02	1.03E+00	3.82E-02
6.6	136.17	4.07E-02	1.10E+00	4.07E-02
6.7	138.59	4.34E-02	1.17E+00	4.34E-02
6.8	140.88	4.61E-02	1.25E+00	4.61E-02
6.9	143.07	4.89E-02	1.32E+00	4.89E-02
7.0	145.21	5.18E-02	1.40E+00	5.18E-02
7.1	147.30	5.48E-02	1.48E+00	5.47E-02
7.2	149.38	5.78E-02	1.56E+00	5.78E-02
7.3	151.45	6.09E-02	1.65E+00	6.09E-02
7.4	153.53	6.40E-02	1.73E+00	6.40E-02
7.5	155.63	6.73E-02	1.82E+00	6.73E-02
7.6	157.77	7.06E-02	1.91E+00	7.06E-02
7.7	159.95	7.40E-02	2.00E+00	7.40E-02
7.8	162.19	7.74E-02	2.09E+00	7.74E-02
7.9	164.50	8.10E-02	2.19E+00	8.10E-02
8.0	166.90	8.46E-02	2.29E+00	8.46E-02
8.1	169.40	8.83E-02	2.39E+00	8.83E-02
8.2	171.99	9.21E-02	2.49E+00	9.21E-02
8.3	174.67	9.60E-02	2.60E+00	9.60E-02
8.4	177.41	1.00E-01	2.70E+00	1.00E-01
8.5	180.22	1.04E-01	2.81E+00	1.04E-01
8.6	183.08	1.08E-01	2.93E+00	1.08E-01
8.7	185.98	1.13E-01	3.04E+00	1.13E-01
8.8	188.92	1.17E-01	3.16E+00	1.17E-01
8.9	191.89	1.22E-01	3.29E+00	1.22E-01
9.0	194.87	1.26E-01	3.41E+00	1.26E-01
9.1	197.85	1.31E-01	3.54E+00	1.31E-01
9.2	200.81	1.36E-01	3.67E+00	1.36E-01
9.3	203.74	1.41E-01	3.80E+00	1.41E-01
9.4	206.60	1.46E-01	3.94E+00	1.46E-01
9.5	209.37	1.51E-01	4.08E+00	1.51E-01
9.6	212.03	1.56E-01	4.22E+00	1.56E-01
9.7	214.55	1.62E-01	4.37E+00	1.62E-01
